year,country,iso3,description,source_org,destination_org,destination_org_type,amountUSD,data_source
2022,Niger,NER,"Projet de protection et d’assistance multisectorielle aux réfugiés ruraux nigérians de Maradi; Protection et lutte contre les violences basees sur le genre et
protection de l' enfance des PDIs; Mobilisation Communautaire - Identification des demandeurs d'asile - accès aux services sociaux de b; Protection et assistance
aux Réfugiés Nigérians, Région de Diffa (Abris, Sante); Protection et Gestion des centres d'accueil des demandeurs d'asile ETM et santé sur le site ETM; Projet:
Appui a la Construction de 279 Maisons/ Zones de Retour",UNHCR,ACTION POUR LE BIEN ETRE,NGOs: National,10910710,UNHCR partner info
2022,India,IND,"Comprehensive assistance to refugees in Mewat,U.P, essential support in Punjab/NE & CBI support-NCR",UNHCR,ActionAid Association,NGO: International,1606950,UNHCR partner info
2022,Bangladesh,BGD,Sustainable Solutions and Protection for the Rohingya Community in Camps,UNHCR,ActionAid International,NGO: International,2241430,UNHCR partner info
2022,"Congo, Democratic Republic of",COD,Appui pour l’accès et le maintien à une éducation de qualité_enfants réfugiés burundais/Baraka/Fizi,UNHCR,ActionAid International,NGO: International,203641,UNHCR partner info
2022,Italy,ITA,"Spazi Comuni – Napoli, Bari",UNHCR,ActionAid International Italia,NGO: International,69069,UNHCR partner info
2022,"Congo, Democratic Republic of",COD,"Assistance médicale au profit des refugiés centrafricains SO Gbadolite; Protection des PoCs, et amélioration de l’accès des infrastructures et abris adéquats;
Assistance multisectorielle en faveur des Refugies Urbain et Demandeurs de la ville de Goma; Gestion du camp/site,distrib.CRIs,auton.ref.BDI et
Assist.multisect. aux ref.urb.&DA/Bkv_ Sud Kivu; Assistance en abris aux populations déplacées, retournées et familles d’accueil au Nord Kivu; Protection et
assistance aux refugies sud-soudanais et aux IDPs dans les prov de l'ituri et du H-U; Assistance en abris aux populations déplacées, retournées et familles
d’accueil au Sud Kivu; Assistance de reintegration aux personnes deplaces, retournes et rapatries au Grand Kasai",UNHCR,"ACTIONS & INTERV.DVPT.& ENCAD.SOCIAL, R.D.CONGO",NGOs: National,9246563,UNHCR partner info
2022,Ethiopia,ETH,Pro Bono Legal Service and Establishment of a National Academic Network on Forced Displacement,UNHCR,Addis Ababa University,Other: National,29571,UNHCR partner info
2022,Sudan,SDN,Shelter Assistance for IDPs and Returnees in Blue Nile,UNHCR,Addition for Disaster Assistance and Development,NGO: International,56610,UNHCR partner info
2022,Kyrgyzstan,KGZ,Assistance and durable solutions for refugees and A/S. Prevention of statelessness in Kyrgyzstan.,UNHCR,"ADILET LEGAL CLINIC, KYRGYZSTAN",NGOs: National,169351,UNHCR partner info
2022,Uganda,UGA,ADJUMANI DISTRICT INTEGRATION PROJECT,UNHCR,"ADJUMANI DISTRICT, UGANDA",Governments: Local/National,125392,UNHCR partner info
